Family,species,IUCN Status,EPBC Status,NSW Status,VIC status,WA Status,NT Status,SA Status,TAS Status,QLD Status
Limnodynastidae,Adelotus brevis ,,,,,,,,,
Myobatrachidae,Arenophryne rotunda,,,,,,,,,
Myobatrachidae,Arenophryne xiphorhyncha,,,,,,,,,
Myobatrachidae,Assa darlingtoni ,,,VU,,,,,,
Microhylidae,Austrochaperina adelphe,,,,,,,,,
Microhylidae,Austrochaperina fryi,,,,,,,,,
Microhylidae,Austrochaperina gracilipes,,,,,,,,,
Microhylidae,Austrochaperina pluvialis,,,,,,,,,
Microhylidae,Austrochaperina robusta,,,,,,,,,
Microhylidae,Cophixalus aenigma ,VU,,,,,,,,
Microhylidae,Cophixalus australis,,,,,,,,,
Microhylidae,Cophixalus bombiens,,,,,,,,,
Microhylidae,Cophixalus concinnus ,CR,,,,,,,,
Microhylidae,Cophixalus crepitans,,,,,,,,,
Microhylidae,Cophixalus exiguus,,,,,,,,,
Microhylidae,Cophixalus hinchinbrookensis,,,,,,,,,
Microhylidae,Cophixalus hosmeri,,,,,,,,,
Microhylidae,Cophixalus infacetus,,,,,,,,,
Microhylidae,Cophixalus kulakula,,,,,,,,,
Microhylidae,Cophixalus mcdonaldi,EN,,,,,,,,
Microhylidae,Cophixalus monticola,EN,,,,,,,,
Microhylidae,Cophixalus neglectus ,EN,,,,,,,,
Microhylidae,Cophixalus ornatus,,,,,,,,,
Microhylidae,Cophixalus pakayakulangun,,,,,,,,,
Microhylidae,Cophixalus peninsularis,,,,,,,,,
Microhylidae,Cophixalus petrophilus,,,,,,,,,
Microhylidae,Cophixalus saxatilis ,VU,,,,,,,,
Microhylidae,Cophixalus zweifeli ,,,,,,,,,
Myobatrachidae,Crinia bilingua,,,,,,,,,
Myobatrachidae,Crinia deserticola ,,,,,,,,,
Myobatrachidae,Crinia fimbriata,,,,,,,,,
Myobatrachidae,Crinia flindersensis,,,,,,,,,
Myobatrachidae,Crinia georgiana ,,,,,,,,,
Myobatrachidae,Crinia glauerti,,,,,,,,,
Myobatrachidae,Crinia insignifera ,,,,,,,,,
Myobatrachidae,Crinia nimba,,,,,,,,,
Myobatrachidae,Crinia parinsignifera ,,,,,,,,,
Myobatrachidae,Crinia pseudinsignifera,,,,,,,,,
Myobatrachidae,Crinia remota,,,,,,,,,
Myobatrachidae,Crinia riparia,,,,,,,,,
Myobatrachidae,Crinia signifera,,,,,,,,,
Myobatrachidae,Crinia sloanei ,,,VU,,,,,,
Myobatrachidae,Crinia subinsignifera ,,,,,,,,,
Myobatrachidae,Crinia tasmaniensis,,,,,,,,,
Myobatrachidae,Crinia tinnula,VU,,VU,,,,,,
Pelodryadidae,Cyclorana alboguttata,,,,,,,,,
Pelodryadidae,Cyclorana australis,,,,,,,,,
Pelodryadidae,Cyclorana brevipes,,,,,,,,,
Pelodryadidae,Cyclorana cryptotis ,,,,,,,,,
Pelodryadidae,Cyclorana cultripes ,,,,,,,,,
Pelodryadidae,Cyclorana longipes,,,,,,,,,
Pelodryadidae,Cyclorana maculosa,,,,,,,,,
Pelodryadidae,Cyclorana maini ,,,,,,,,,
Pelodryadidae,Cyclorana manya ,,,,,,,,,
Pelodryadidae,Cyclorana novaehollandiae,,,,,,,,,
Pelodryadidae,Cyclorana occidentalis,,,,,,,,,
Pelodryadidae,Cyclorana platycephala ,,,,,,,,,
Pelodryadidae,Cyclorana vagitus,,,,,,,,,
Pelodryadidae,Cyclorana verrucosa ,,,,,,,,,
Myobatrachidae,Geocrinia alba,CR,EN,,,,,,,
Myobatrachidae,Geocrinia laevis,,,,,,,,,
Myobatrachidae,Geocrinia leai ,,,,,,,,,
Myobatrachidae,Geocrinia lutea ,,,,,,,,,
Myobatrachidae,Geocrinia rosea ,,,,,,,,,
Myobatrachidae,Geocrinia victoriana ,,,,,,,,,
Myobatrachidae,Geocrinia vitellina,VU,VU,,,,,,,
Limnodynastidae,Heleioporus albopunctatus ,,,,,,,,,
Limnodynastidae,Heleioporus australiacus ,VU,VU,VU,,,,,,
Limnodynastidae,Heleioporus barycragus ,,,,,,,,,
Limnodynastidae,Heleioporus eyrei,,,,,,,,,
Limnodynastidae,Heleioporus inornatus ,,,,,,,,,
Limnodynastidae,Heleioporus psammophilus,,,,,,,,,
Limnodynastidae,Lechriodus fletcheri ,,,,,,,,,
Limnodynastidae,Limnodynastes convexiusculus ,,,,,,,,,
Limnodynastidae,Limnodynastes depressus,,,,,,,,,
Limnodynastidae,Limnodynastes dorsalis,,,,,,,,,
Limnodynastidae,Limnodynastes dumerilii ,,,,,,,,,
Limnodynastidae,Limnodynastes fletcheri ,,,,,,,,,
Limnodynastidae,Limnodynastes interioris,,,,,,,,,
Limnodynastidae,Limnodynastes lignarius ,,,,,,,,,
Limnodynastidae,Limnodynastes peronii ,,,,,,,,,
Limnodynastidae,Limnodynastes salmini,,,,,,,,,
Limnodynastidae,Limnodynastes tasmaniensis ,,,,,,,,,
Limnodynastidae,Limnodynastes terraereginae ,,,,,,,,,
Pelodryadidae,Litoria adelaidensis,,,,,,,,,
Pelodryadidae,Litoria andiirrmalin,VU,,,,,,,,
Pelodryadidae,Litoria aurea ,VU,VU,EN,,,,,,
Pelodryadidae,Litoria aurifera,,,,,,,,,
Pelodryadidae,Litoria axillaris,,,,,,,,,
Pelodryadidae,Litoria barringtonensis,,,,,,,,,
Pelodryadidae,Litoria bella,,,,,,,,,
Pelodryadidae,Litoria bicolor,,,,,,,,,
Pelodryadidae,Litoria booroolongensis ,CR,EN,EN,,,,,,
Pelodryadidae,Litoria brevipalmata ,EN,,VU,,,,,,
Pelodryadidae,Litoria burrowsae,,,,,,,,,
Pelodryadidae,Litoria caerulea,,,,,,,,,
Pelodryadidae,Litoria castanea,CR,EN,CR,,,,,,
Pelodryadidae,Litoria cavernicola,,,,,,,,,
Pelodryadidae,Litoria chloris ,,,,,,,,,
Pelodryadidae,Litoria citropa ,,,,,,,,,
Pelodryadidae,Litoria cooloolensis,EN,,,,,,,,
Pelodryadidae,Litoria coplandi ,,,,,,,,,
Pelodryadidae,Litoria cyclorhyncha ,,,,,,,,,
Pelodryadidae,Litoria dahlii ,,,,,,,,,
