Ecoregion,urban,species_richness,number_records
Deserts & Xeric Shrublands,Non-urban,25,176
Deserts & Xeric Shrublands,Urban,8,108
Mediterranean Forests,Non-urban,38,2922
Mediterranean Forests,Urban,28,9151
Temperate Broadleaf & Mixed Forests,Non-urban,65,17514
Temperate Broadleaf & Mixed Forests,Urban,55,27471
Temperate Grasslands,Non-urban,25,1295
Temperate Grasslands,Urban,13,300
Tropical & Subtropical Grasslands,Non-urban,73,3628
Tropical & Subtropical Grasslands,Urban,35,2455
Tropical & Subtropical Moist Broadleaf Forests,Non-urban,41,1298
Tropical & Subtropical Moist Broadleaf Forests,Urban,24,808
